Model,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test AUC-ROC
Random Forest,0.9150046026388463,0.9486692015209125,0.6662216288384513,0.7827450980392157,0.8277323283634487
Gradient Boosting,0.9205277692543725,0.9640151515151515,0.6795727636849133,0.7971808927173063,0.8360015212846877
Support Vector Machines,0.8554771402270636,0.8527918781725888,0.4485981308411215,0.5879265091863517,0.712745280560003
K-Nearest Neighbors,0.8401350107394906,0.7893401015228426,0.4152202937249666,0.5441819772528435,0.6910762823206507
Naive Bayes,0.8082233814053391,0.5756097560975609,0.630173564753004,0.6016571064372211,0.7457640732131555
XGBoost,0.9217551396133783,0.9490909090909091,0.6969292389853138,0.8036951501154734,0.8428869302496289
