iter	Passed	Remaining
402	11169	16546
403	11197	16519
404	11222	16487
405	11242	16448
406	11272	16424
407	11300	16396
408	11328	16368
409	11355	16341
410	11384	16314
411	11411	16285
412	11437	16256
413	11467	16231
414	11494	16202
415	11524	16179
416	11542	16137
417	11570	16110
418	11598	16083
419	11626	16056
420	11654	16028
421	11677	15993
422	11706	15968
423	11733	15939
424	11760	15911
425	11790	15886
426	11815	15856
427	11844	15829
428	11871	15801
429	11895	15768
430	11923	15741
431	11953	15716
432	11981	15689
433	12013	15666
434	12041	15640
435	12070	15613
436	12099	15587
437	12128	15562
438	12156	15535
439	12186	15509
440	12207	15473
441	12233	15444
442	12263	15419
443	12292	15393
444	12322	15368
445	12351	15342
446	12380	15316
447	12404	15283
448	12430	15254
449	12459	15228
450	12478	15189
451	12506	15163
452	12526	15126
453	12547	15090
454	12576	15063
455	12603	15036
456	12624	15000
457	12652	14972
458	12679	14944
459	12702	14911
460	12730	14883
461	12757	14855
462	12787	14831
463	12814	14802
464	12842	14776
465	12870	14748
466	12898	14721
467	12923	14690
468	12941	14652
469	12968	14624
470	12989	14588
471	13021	14566
472	13049	14538
473	13077	14512
474	13105	14485
475	13135	14460
476	13162	14432
477	13189	14404
478	13217	14376
479	13248	14352
480	13267	14315
481	13296	14289
482	13323	14261
483	13350	14233
484	13372	14199
485	13401	14173
486	13428	14145
487	13448	14110
488	13476	14082
489	13504	14056
490	13532	14029
491	13560	14001
492	13588	13974
493	13611	13941
494	13630	13906
495	13659	13879
496	13686	13851
497	13713	13823
498	13739	13794
499	13767	13767
500	13795	13740
501	13823	13713
502	13853	13688
503	13881	13660
504	13909	13633
505	13929	13599
506	13958	13572
507	13987	13546
508	14021	13526
509	14046	13495
510	14074	13468
511	14095	13435
512	14122	13407
513	14150	13379
514	14179	13353
515	14207	13326
516	14234	13298
517	14260	13269
518	14289	13242
519	14317	13216
520	14344	13188
521	14374	13162
522	14402	13135
523	14429	13107
524	14457	13080
525	14486	13054
526	14517	13029
527	14544	13001
528	14572	12974
529	14601	12948
530	14629	12921
531	14658	12895
532	14685	12867
533	14715	12841
534	14741	12813
535	14760	12777
536	14789	12751
537	14818	12725
538	14847	12698
539	14874	12670
540	14893	12636
541	14922	12609
542	14949	12581
543	14982	12558
544	15012	12533
545	15039	12505
546	15068	12478
547	15092	12448
548	15121	12421
549	15149	12395
550	15176	12367
551	15205	12340
552	15233	12313
553	15261	12286
554	15290	12259
555	15316	12230
556	15334	12196
557	15361	12168
558	15390	12141
559	15410	12108
560	15438	12081
561	15467	12054
562	15494	12027
563	15521	11999
564	15550	11972
565	15579	11945
566	15606	11917
567	15627	11885
568	15656	11859
569	15676	11825
570	15705	11799
571	15732	11772
572	15760	11744
573	15791	11719
574	15808	11684
575	15837	11658
576	15865	11630
577	15892	11603
578	15921	11576
579	15950	11550
580	15977	11522
581	15997	11489
582	16020	11458
583	16053	11435
584	16074	11403
585	16095	11371
586	16118	11340
587	16146	11313
588	16176	11287
589	16203	11259
590	16231	11232
591	16261	11207
592	16289	11179
593	16308	11146
594	16336	11119
595	16355	11086
596	16384	11060
597	16413	11033
598	16442	11007
599	16470	10980
600	16498	10953
601	16525	10925
602	16553	10898
603	16582	10871
604	16610	10844
605	16638	10817
606	16664	10789
607	16693	10762
608	16720	10735
609	16741	10703
610	16769	10676
611	16788	10643
612	16816	10616
613	16844	10589
614	16871	10561
615	16900	10535
616	16928	10508
617	16955	10480
618	16986	10455
619	17016	10429
620	17044	10402
621	17072	10375
622	17100	10347
623	17127	10320
624	17156	10293
625	17185	10267
626	17212	10239
627	17230	10206
628	17251	10175
629	17274	10145
630	17302	10118
631	17330	10090
632	17358	10064
633	17388	10038
634	17415	10010
635	17437	9979
636	17464	9952
637	17494	9926
638	17522	9899
639	17549	9871
640	17577	9844
641	17595	9811
642	17622	9784
643	17650	9756
644	17677	9729
645	17705	9702
646	17733	9675
647	17760	9647
648	17788	9620
649	17816	9593
650	17836	9562
651	17863	9534
652	17882	9502
653	17912	9476
654	17929	9443
655	17949	9412
656	17971	9382
657	18008	9360
658	18036	9332
659	18058	9302
660	18076	9270
661	18096	9239
662	18117	9209
663	18136	9177
664	18154	9145
665	18175	9115
666	18195	9083
667	18224	9057
668	18252	9030
669	18272	8999
670	18290	8967
671	18318	8941
672	18346	8914
673	18376	8888
674	18395	8857
675	18423	8830
676	18453	8804
677	18481	8777
678	18508	8750
679	18544	8726
680	18562	8695
681	18583	8665
682	18611	8638
683	18639	8611
684	18666	8583
685	18694	8557
686	18713	8525
687	18733	8495
688	18761	8468
689	18792	8442
690	18819	8415
691	18848	8389
692	18876	8362
693	18895	8331
694	18914	8300
695	18941	8273
696	18971	8247
697	19001	8221
698	19030	8194
699	19059	8168
700	19087	8141
701	19105	8110
702	19125	8080
703	19153	8053
704	19174	8023
705	19193	7992
706	19221	7965
707	19247	7938
708	19275	7911
709	19304	7885
710	19331	7857
711	19359	7830
712	19388	7804
713	19417	7777
714	19446	7751
715	19464	7720
716	19493	7694
717	19512	7663
718	19539	7636
719	19565	7608
720	19593	7582
721	19621	7555
722	19640	7524
723	19668	7498
724	19687	7467
725	19714	7440
726	19742	7413
727	19771	7387
728	19799	7360
729	19828	7333
730	19848	7303
731	19875	7276
732	19903	7250
733	19924	7220
734	19955	7194
735	19987	7169
736	20016	7143
737	20043	7115
738	20071	7088
739	20098	7061
740	20117	7031
741	20136	7001
742	20156	6972
743	20185	6945
744	20215	6919
745	20243	6892
746	20261	6862
747	20289	6835
748	20318	6808
749	20338	6779
750	20359	6750
751	20377	6720
752	20404	6693
753	20434	6667
754	20471	6642
755	20492	6614
756	20512	6584
757	20532	6555
758	20552	6525
759	20579	6498
760	20606	6471
761	20626	6442
762	20644	6412
763	20672	6385
764	20702	6359
765	20720	6329
766	20741	6301
767	20769	6274
768	20798	6247
769	20818	6218
770	20846	6191
771	20865	6162
772	20893	6135
773	20920	6108
774	20949	6082
775	20972	6053
776	21002	6027
777	21021	5998
778	21050	5971
779	21077	5945
780	21106	5918
781	21134	5891
782	21163	5865
783	21191	5838
784	21219	5811
785	21247	5785
786	21275	5758
787	21302	5731
788	21323	5702
789	21353	5676
790	21382	5649
791	21410	5622
792	21437	5595
793	21456	5566
794	21475	5537
795	21494	5508
796	21522	5481
797	21551	5455
798	21578	5428
799	21605	5401
800	21625	5372
801	21644	5343
802	21673	5317
803	21692	5288
804	21720	5261
805	21750	5235
806	21780	5208
807	21799	5180
808	21818	5151
809	21837	5122
810	21856	5093
811	21880	5065
812	21910	5039
813	21937	5012
814	21958	4984
815	21995	4959
816	22023	4933
817	22051	4906
818	22079	4879
819	22108	4853
820	22128	4824
821	22146	4795
822	22175	4769
823	22199	4741
824	22219	4713
825	22245	4686
826	22274	4659
827	22302	4632
828	22321	4604
829	22349	4577
830	22368	4549
831	22395	4522
832	22426	4496
833	22453	4469
834	22473	4440
835	22501	4414
836	22530	4387
837	22558	4360
838	22585	4334
839	22606	4306
840	22627	4278
841	22649	4250
842	22673	4222
843	22693	4194
844	22723	4168
845	22742	4139
846	22773	4113
847	22800	4086
848	22829	4060
849	22856	4033
850	22886	4007
851	22912	3980
852	22943	3953
853	22963	3925
854	22983	3897
855	23013	3871
856	23033	3843
857	23065	3817
858	23094	3790
859	23114	3762
860	23142	3736
861	23172	3709
862	23199	3682
863	23229	3656
864	23257	3629
865	23282	3602
866	23310	3575
867	23338	3549
868	23368	3522
869	23387	3494
870	23423	3469
871	23442	3441
872	23462	3413
873	23494	3387
874	23513	3359
875	23533	3331
876	23552	3303
877	23580	3276
878	23599	3248
879	23628	3222
880	23658	3195
881	23677	3167
882	23697	3140
883	23726	3113
884	23746	3085
885	23775	3059
886	23794	3031
887	23823	3004
888	23850	2977
889	23870	2950
890	23890	2922
891	23913	2895
892	23944	2869
893	23974	2842
894	23995	2815
895	24019	2788
896	24043	2760
897	24070	2734
898	24098	2707
899	24121	2680
900	24141	2652
901	24170	2626
902	24198	2599
903	24227	2572
904	24255	2546
905	24279	2519
906	24307	2492
907	24326	2464
908	24355	2438
909	24383	2411
910	24412	2384
911	24440	2358
912	24467	2331
913	24496	2304
914	24525	2278
915	24553	2251
916	24572	2224
917	24600	2197
918	24621	2170
919	24649	2143
920	24676	2116
921	24704	2090
922	24728	2062
923	24757	2036
924	24776	2008
925	24804	1982
926	24825	1954
927	24843	1927
928	24872	1900
929	24899	1874
930	24931	1847
931	24962	1821
932	24983	1794
933	25012	1767
934	25041	1740
935	25063	1713
936	25082	1686
937	25102	1659
938	25121	1631
939	25149	1605
940	25176	1578
941	25195	1551
942	25217	1524
943	25249	1497
944	25276	1471
945	25296	1443
946	25324	1417
947	25343	1390
948	25365	1363
949	25391	1336
950	25420	1309
951	25449	1283
952	25479	1256
953	25506	1229
954	25534	1203
955	25564	1176
956	25591	1149
957	25620	1123
958	25640	1096
959	25658	1069
960	25685	1042
961	25713	1015
962	25742	989
963	25771	962
964	25799	935
965	25822	908
966	25843	881
967	25872	855
968	25891	828
969	25911	801
970	25930	774
971	25949	747
972	25980	720
973	26008	694
974	26036	667
975	26065	640
976	26093	614
977	26114	587
978	26132	560
979	26154	533
980	26172	506
981	26199	480
982	26222	453
983	26250	426
984	26272	400
985	26291	373
986	26309	346
987	26337	319
988	26361	293
989	26382	266
990	26410	239
991	26438	213
992	26466	186
993	26489	159
994	26518	133
995	26540	106
996	26566	79
997	26594	53
998	26623	26
999	26641	0
