iter	Logloss
0	0.6631482632
1	0.6362023508
2	0.6115432675
3	0.5873815051
4	0.5665786685
5	0.5452357395
6	0.5273109695
7	0.5110305508
8	0.4961307648
9	0.48231202
10	0.4690658627
11	0.4568912313
12	0.4454221646
13	0.4351815799
14	0.4260067643
15	0.4163318208
16	0.4082445644
17	0.4004516661
18	0.3933485846
19	0.3867221517
20	0.3805982019
21	0.3748317682
22	0.369142766
23	0.3632822967
24	0.3585802049
25	0.3539077059
26	0.349111626
27	0.3453068098
28	0.3408536163
29	0.3369424421
30	0.3336298799
31	0.3301473493
32	0.3272278908
33	0.3241991008
34	0.3211305602
35	0.3179427445
36	0.3152666416
37	0.3128859672
38	0.3103678909
39	0.3081734085
40	0.3061669736
41	0.3041227865
42	0.3019653427
43	0.3003101916
44	0.2985077425
45	0.2968398169
46	0.2953151928
47	0.2939558983
48	0.2923338131
49	0.2905747303
50	0.2891425481
51	0.2880019168
52	0.2868341429
53	0.2857729412
54	0.2843402832
55	0.2833602476
56	0.2824560732
57	0.2811999729
58	0.2798971522
59	0.2788241038
60	0.2776850663
61	0.2768576573
62	0.276231641
63	0.2751460562
64	0.2741175398
65	0.2734508691
66	0.2727094552
67	0.2717645313
68	0.2710545657
69	0.270461663
70	0.2698397859
71	0.2689546661
72	0.268310309
73	0.2677433118
74	0.2669928821
75	0.2664991295
76	0.266033138
77	0.2654999918
78	0.2649108476
79	0.2642973679
80	0.2637734516
81	0.2633062707
82	0.2629804168
83	0.2623851352
84	0.2620779552
85	0.2616032572
86	0.2611176878
87	0.2607230854
88	0.2603575524
89	0.2599246268
90	0.259495436
91	0.2587387976
92	0.2582786104
93	0.257997455
94	0.2575313446
95	0.2571765164
96	0.2568126011
97	0.2564927419
98	0.2562479352
99	0.2560073866
100	0.2557103881
101	0.2553387177
102	0.255035891
103	0.254719719
104	0.2544432499
105	0.2539026104
106	0.2536144612
107	0.2533867108
108	0.2531821065
109	0.2528577513
110	0.2525775474
111	0.2523175875
112	0.2520785138
113	0.2519087834
114	0.2516647141
115	0.2514499046
116	0.2512354519
117	0.2509888373
118	0.2506989278
119	0.2503003527
120	0.2501914255
121	0.2499845137
122	0.2497451546
123	0.2495425723
124	0.2493667521
125	0.2485873005
126	0.2483965411
127	0.2481197865
128	0.2479725362
129	0.2478156991
130	0.2475660395
131	0.2473547031
132	0.247202933
133	0.246995379
134	0.2467819016
135	0.2466231852
136	0.2464022383
137	0.2458913343
138	0.2457790053
139	0.2454945671
140	0.2453297133
141	0.2451528464
142	0.2450089026
143	0.2448332726
144	0.244366734
145	0.2442081603
146	0.2440285339
